Position,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Carbonic acid,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydroxyl,0,14,211,6,3,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Amine,0,2,51,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,3,0,1,0
Amine and imine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,1,0,0,0
Methyl,0,54,0,19,6,29,7,18,15,26,16,51,24,23,5,2,1,1,0,0,0,0,0,0
Epoxide,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ketone,0,2,15,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Length,499,499,499,498,495,494,470,458,415,405,313,298,238,194,113,94,38,34,13,11,7,7,1,1
